FEATURE1,FEATURE2,S0,S1,S2,S3,S4,S5
!F3,F5,N,Y,N,N,Y,Y
!F7,F2,Y,Y,Y,N,Y,Y
F8,!F1,N,Y,Y,N,N,N
!F1,!F3,Y,Y,N,Y,N,Y
F8,!F3,N,Y,N,N,Y,N
!F9,F2,N,N,N,Y,N,N
!F7,F5,N,Y,Y,N,Y,Y
!F7,!F1,Y,Y,Y,N,N,Y
!F7,F8,N,Y,Y,N,Y,N
!F7,!F3,Y,Y,N,N,Y,Y
!F9,!F1,N,N,N,Y,N,N
!F9,!F3,N,N,N,Y,N,N
F0,F2,N,Y,N,N,N,N
F0,F5,N,Y,N,N,N,N
F0,!F1,N,Y,N,N,N,N
F2,F5,N,Y,Y,N,Y,Y
F8,F0,N,Y,N,N,N,N
F0,!F3,N,Y,N,N,N,N
!F1,F2,Y,Y,Y,Y,N,Y
F8,F2,N,Y,Y,N,Y,N
F2,!F3,Y,Y,N,Y,Y,Y
!F1,F5,N,Y,Y,N,N,Y
!F7,F0,N,Y,N,N,N,N
F8,F5,N,Y,Y,N,Y,N
F6,F8,N,Y,Y,N,Y,N
!F7,F1,N,N,N,N,Y,N
F6,!F3,Y,Y,N,Y,Y,Y
!F7,F4,Y,Y,Y,N,Y,Y
!F9,F4,N,N,N,Y,N,N
F6,!F7,Y,Y,Y,N,Y,Y
F6,!F9,N,N,N,Y,N,N
F1,F2,N,N,N,N,Y,N
F0,F4,N,Y,N,N,N,N
F1,F4,N,N,N,N,Y,N
F1,F5,N,N,N,N,Y,N
F2,F4,Y,Y,Y,Y,Y,Y
F6,F0,N,Y,N,N,N,N
F6,F1,N,N,N,N,Y,N
F6,F2,Y,Y,Y,Y,Y,Y
F8,F1,N,N,N,N,Y,N
F4,F5,N,Y,Y,N,Y,Y
F1,!F3,N,N,N,N,Y,N
F6,F4,Y,Y,Y,Y,Y,Y
F6,F5,N,Y,Y,N,Y,Y
F8,F4,N,Y,Y,N,Y,N
!F3,F4,Y,Y,N,Y,Y,Y
F9,F5,N,Y,Y,N,Y,Y
F8,F9,N,Y,Y,N,Y,N
F9,!F3,Y,Y,N,N,Y,Y
!F7,F9,Y,Y,Y,N,Y,Y
F9,F0,N,Y,N,N,N,N
F9,F1,N,N,N,N,Y,N
F9,F2,Y,Y,Y,N,Y,Y
F9,F4,Y,Y,Y,N,Y,Y
!F7,F3,N,N,Y,N,N,N
!F1,!F5,Y,N,N,Y,N,N
!F7,!F5,Y,N,N,N,N,N
!F9,!F5,N,N,N,Y,N,N
F2,F3,N,N,Y,N,N,N
!F1,F3,N,N,Y,N,N,N
F8,F3,N,N,Y,N,N,N
F2,!F5,Y,N,N,Y,N,N
F7,!F3,N,N,N,Y,N,N
F7,!F9,N,N,N,Y,N,N
F7,F2,N,N,N,Y,N,N
F7,F4,N,N,N,Y,N,N
